中文SC,英文EN,德 DE,法 FR,荷兰语NL,意大利 IT,西班牙 ES,葡萄牙语PT,俄语RU,波兰语PL,日语,繁体中文TC,韩语,,,,,,,
"如需一次传输超过 10 张照片，可使用 SD 卡或 U 盘（USB-A 接口）导入照片，或通过 USB 线从电脑传输照片。

兼容性
支持 SD 卡和 U 盘（USB-A 接口）

格式要求
SD 卡或 U 盘需为 FAT32 或 exFAT 格式。

从 SD 卡或 U 盘导入照片：
1、打开相框上的“设置”。
2、进入“管理照片”菜单。
3、点击“导入照片”。
4、点击选择要导入的照片。
·注意：可使用右上角的方形图标一次选择或取消选择所有照片。
5、照片选好后，点击右上角的“导入”图标（该图标为向下箭头）。
相框将开始导入所选照片。

通过 USB 线传输照片：
1、使用 USB 线将相框连接到电脑。
2、在相框上，进入“设置”→“管理照片”→“从电脑传输”。
3、启用该功能后，电脑将检测到相框，在文件资源管理器的“此电脑”中通常可以找到相框。
4、开始将照片从电脑复制到相框的 DCIM 文件夹。

请在所有照片传输完成前不要断开 USB 线。

注意：通过 USB 线传输目前仅支持 Windows 和 Linux 电脑。","To transfer more than 10 photos at a time, you can import photos using an SD card or a USB flash drive (USB-A), or transfer photos from your computer with a USB cable.

Compatibility
Supports SD cards and USB flash drives (USB-A).

Format
SD cards and USB flash drives must be formatted as FAT32 or exFAT.

Import photos from an SD card or USB flash drive:
1. Open Settings on your frame.
2. Tap ""Manage photos"".
3. Tap ""Import photos"".
4. Tap the photos you want to import.
• Note: Use the square icon in the top right corner to select or deselect all photos at once.
5. Once the photos are selected, tap the ""Import"" icon in the top right corner (the icon is a downward arrow).
The frame will begin importing the selected photos.

Transfer photos with a USB cable:
1. Connect your frame to your computer with a USB cable.
2. On your frame, go to Settings → Manage photos → Transfer from computer.
3. Turn this feature on, and your computer will detect the frame.
The frame can usually be found under This PC in File Explorer.
4. Start copying photos from your computer to the frame’s DCIM folder.

Do not disconnect the USB cable until all photos have been transferred.

Please note that photo transfer via USB cable is currently only supported on Windows and Linux.","Wenn Sie mehr als 10 Fotos gleichzeitig übertragen möchten, können Sie Fotos über eine SD-Karte oder einen USB-A-Stick importieren oder Fotos per USB-Kabel von Ihrem Computer übertragen.

Kompatibilität
Unterstützt SD-Karten und USB-A-Sticks.

Format
SD-Karten und USB-A-Sticks müssen im FAT32- oder exFAT-Format formatiert sein.

Fotos von einer SD-Karte oder einem USB-A-Stick importieren:
1. Öffnen Sie die Einstellungen auf Ihrem Rahmen.
2. Tippen Sie auf „Fotos verwalten“.
3. Tippen Sie auf „Fotos importieren“.
4. Tippen Sie auf die Fotos, die Sie importieren möchten.
• Hinweis: Verwenden Sie das quadratische Symbol oben rechts, um alle Fotos auf einmal auszuwählen oder die Auswahl aufzuheben.
5. Sobald die Fotos ausgewählt wurden, tippen Sie oben rechts auf das Symbol „Importieren“ (das Symbol ist ein nach unten gerichteter Pfeil).
Der Rahmen beginnt nun mit dem Import der ausgewählten Fotos.

Fotos per USB-Kabel übertragen:
1. Verbinden Sie Ihren Rahmen mit einem USB-Kabel mit Ihrem Computer.
2. Gehen Sie auf Ihrem Rahmen zu Einstellungen → Fotos verwalten → Vom Computer übertragen.
3. Aktivieren Sie diese Funktion, und Ihr Computer erkennt den Rahmen.
Der Rahmen ist normalerweise unter „Dieser PC“ im Datei-Explorer zu finden.
4. Kopieren Sie die Fotos von Ihrem Computer in den DCIM-Ordner des Rahmens.

Trennen Sie das USB-Kabel nicht, bevor alle Fotos vollständig übertragen wurden.

Hinweis: Die Fotoübertragung per USB-Kabel wird derzeit nur unter Windows und Linux unterstützt.","Pour transférer plus de 10 photos à la fois, vous pouvez importer des photos à l’aide d’une carte SD ou d’une clé USB-A, ou transférer des photos depuis votre ordinateur avec un câble USB.

Compatibilité
Prend en charge les cartes SD et les clés USB-A.

Format
Les cartes SD et les clés USB-A doivent être formatées en FAT32 ou exFAT.

Importer des photos depuis une carte SD ou une clé USB-A :
1. Ouvrez les Réglages sur votre cadre.
2. Touchez « Gérer les photos ».
3. Touchez « Importer des photos ».
4. Touchez les photos que vous souhaitez importer.
• Remarque : Utilisez l’icône carrée située en haut à droite pour sélectionner ou désélectionner toutes les photos en une seule fois.
5. Une fois les photos sélectionnées, touchez l’icône « Importer » en haut à droite (l’icône est une flèche pointant vers le bas).
Le cadre commencera à importer les photos sélectionnées.

Transférer des photos avec un câble USB :
1. Connectez votre cadre à votre ordinateur avec un câble USB.
2. Sur votre cadre, accédez à Réglages → Gérer les photos → Transférer depuis un ordinateur.
3. Activez cette fonction, et votre ordinateur détectera le cadre.
Le cadre peut généralement être trouvé sous « Ce PC » dans l’Explorateur de fichiers.
4. Commencez à copier les photos depuis votre ordinateur vers le dossier DCIM du cadre.

Ne déconnectez pas le câble USB tant que toutes les photos n’ont pas été transférées.

Remarque : Le transfert de photos par câble USB est actuellement uniquement pris en charge sous Windows et Linux.","Om meer dan 10 foto’s tegelijk over te zetten, kunt u foto’s importeren met een SD-kaart of USB-A-stick, of foto’s vanaf uw computer overzetten met een USB-kabel.

Compatibiliteit
Ondersteunt SD-kaarten en USB-A-sticks.

Formaat
SD-kaarten en USB-A-sticks moeten zijn geformatteerd als FAT32 of exFAT.

Foto’s importeren vanaf een SD-kaart of USB-A-stick:
1. Open Instellingen op uw fotolijst.
2. Tik op ""Foto’s beheren"".
3. Tik op ""Foto’s importeren"".
4. Tik op de foto’s die u wilt importeren.
• Opmerking: Gebruik het vierkante pictogram rechtsboven om alle foto’s in één keer te selecteren of de selectie ongedaan te maken.
5. Zodra de foto’s zijn geselecteerd, tikt u op het pictogram ""Importeren"" rechtsboven (het pictogram is een pijl die naar beneden wijst).
De fotolijst begint met het importeren van de geselecteerde foto’s.

Foto’s overzetten met een USB-kabel:
1. Verbind uw fotolijst met uw computer via een USB-kabel.
2. Ga op uw fotolijst naar Instellingen → Foto’s beheren → Overzetten vanaf computer.
3. Schakel deze functie in, en uw computer zal de fotolijst detecteren.
De fotolijst is meestal te vinden onder ""Deze pc"" in Verkenner.
4. Begin met het kopiëren van foto’s van uw computer naar de DCIM-map van de fotolijst.

Koppel de USB-kabel niet los totdat alle foto’s volledig zijn overgezet.

Opmerking: Foto-overdracht via een USB-kabel wordt momenteel alleen ondersteund op Windows en Linux.","Per trasferire più di 10 foto alla volta, puoi importare foto utilizzando una scheda SD o un’unità USB-A, oppure trasferire foto dal computer con un cavo USB.

Compatibilità
Supporta schede SD e unità USB-A.

Formato
Le schede SD e le unità USB-A devono essere formattate in FAT32 o exFAT.

Importare foto da una scheda SD o unità USB-A:
1. Apri Impostazioni sulla cornice.
2. Tocca ""Gestisci foto"".
3. Tocca ""Importa foto"".
4. Tocca le foto che desideri importare.
• Nota: Usa l’icona quadrata in alto a destra per selezionare o deselezionare tutte le foto in una sola volta.
5. Una volta selezionate le foto, tocca l’icona ""Importa"" in alto a destra (l’icona è una freccia rivolta verso il basso).
La cornice inizierà a importare le foto selezionate.

Trasferire foto con un cavo USB:
1. Collega la cornice al computer con un cavo USB.
2. Sulla cornice, vai su Impostazioni → Gestisci foto → Trasferisci da computer.
3. Attiva questa funzione e il computer rileverà la cornice.
La cornice si trova normalmente in Questo PC in Esplora file.
4. Inizia a copiare le foto dal computer alla cartella DCIM della cornice.

Non scollegare il cavo USB finché tutte le foto non sono state trasferite.

Nota: Il trasferimento di foto tramite cavo USB è attualmente supportato solo su Windows e Linux.","Para transferir más de 10 fotos a la vez, puedes importar fotos mediante una tarjeta SD o una unidad USB-A, o transferir fotos desde tu ordenador con un cable USB.

Compatibilidad
Compatible con tarjetas SD y unidades USB-A.

Formato
Las tarjetas SD y las unidades USB-A deben estar formateadas en FAT32 o exFAT.

Importar fotos desde una tarjeta SD o unidad USB-A:
1. Abre Ajustes en el marco.
2. Toca ""Gestionar fotos"".
3. Toca ""Importar fotos"".
4. Toca las fotos que deseas importar.
• Nota: Usa el icono cuadrado en la esquina superior derecha para seleccionar o deseleccionar todas las fotos a la vez.
5. Una vez seleccionadas las fotos, toca el icono ""Importar"" en la esquina superior derecha (el icono es una flecha hacia abajo).
El marco comenzará a importar las fotos seleccionadas.

Transferir fotos con un cable USB:
1. Conecta el marco al ordenador con un cable USB.
2. En el marco, ve a Ajustes → Gestionar fotos → Transferir desde el ordenador.
3. Activa esta función y el ordenador detectará el marco.
Normalmente, el marco se puede encontrar en ""Este equipo"" en el Explorador de archivos.
4. Empieza a copiar fotos desde el ordenador a la carpeta DCIM del marco.

No desconectes el cable USB hasta que todas las fotos se hayan transferido.

Nota: Actualmente, la transferencia de fotos mediante cable USB solo es compatible con Windows y Linux.","Para transferir mais de 10 fotos de cada vez, pode importar fotos utilizando um cartão SD ou uma unidade USB-A, ou transferir fotos do computador com um cabo USB.

Compatibilidade
Suporta cartões SD e unidades USB-A.

Formato
Os cartões SD e as unidades USB-A devem estar formatados em FAT32 ou exFAT.

Importar fotos de um cartão SD ou unidade USB-A:
1. Abra Definições na moldura.
2. Toque em ""Gerir fotos"".
3. Toque em ""Importar fotos"".
4. Toque nas fotos que pretende importar.
• Nota: Utilize o ícone quadrado no canto superior direito para selecionar ou desmarcar todas as fotos de uma só vez.
5. Depois de selecionar as fotos, toque no ícone ""Importar"" no canto superior direito (o ícone é uma seta para baixo).
A moldura começará a importar as fotos selecionadas.

Transferir fotos com um cabo USB:
1. Ligue a moldura ao computador com um cabo USB.
2. Na moldura, vá a Definições → Gerir fotos → Transferir do computador.
3. Ative esta função e o computador irá detetar a moldura.
Normalmente, a moldura pode ser encontrada em ""Este PC"" no Explorador de Ficheiros.
4. Comece a copiar as fotos do computador para a pasta DCIM da moldura.

Não desligue o cabo USB até que todas as fotos tenham sido transferidas.

Nota: A transferência de fotos por cabo USB é atualmente suportada apenas em Windows e Linux.","Чтобы передать более 10 фотографий за один раз, вы можете импортировать фотографии с помощью SD-карты или USB-A-накопителя либо передавать фотографии с компьютера с помощью USB-кабеля.

Совместимость
Поддерживает SD-карты и USB-A-накопители.

Формат
SD-карты и USB-A-накопители должны быть отформатированы в FAT32 или exFAT.

Импорт фотографий с SD-карты или USB-A-накопителя:
1. Откройте «Настройки» на фоторамке.
2. Нажмите «Управление фотографиями».
3. Нажмите «Импорт фотографий».
4. Нажмите на фотографии, которые хотите импортировать.
• Примечание: Используйте квадратный значок в правом верхнем углу, чтобы выбрать или отменить выбор всех фотографий сразу.
5. После выбора фотографий нажмите значок «Импорт» в правом верхнем углу (значок представляет собой стрелку вниз).
Фоторамка начнёт импортировать выбранные фотографии.

Передача фотографий с помощью USB-кабеля:
1. Подключите фоторамку к компьютеру с помощью USB-кабеля.
2. На фоторамке перейдите в Настройки → Управление фотографиями → Передача с компьютера.
3. Включите эту функцию, и компьютер обнаружит фоторамку.
Обычно фоторамку можно найти в разделе «Этот компьютер» в Проводнике.
4. Начните копировать фотографии с компьютера в папку DCIM фоторамки.

Не отключайте USB-кабель, пока все фотографии не будут полностью переданы.

Примечание: Передача фотографий по USB-кабелю в настоящее время поддерживается только в Windows и Linux.","Aby przesłać więcej niż 10 zdjęć jednocześnie, możesz importować zdjęcia za pomocą karty SD lub pamięci USB-A albo przesyłać zdjęcia z komputera za pomocą kabla USB.

Kompatybilność
Obsługuje karty SD i pamięci USB-A.

Format
Karty SD i pamięci USB-A muszą być sformatowane w systemie FAT32 lub exFAT.

Importowanie zdjęć z karty SD lub pamięci USB-A:
1. Otwórz „Ustawienia” na ramce.
2. Dotknij „Zarządzaj zdjęciami”.
3. Dotknij „Importuj zdjęcia”.
4. Dotknij zdjęć, które chcesz zaimportować.
• Uwaga: Użyj kwadratowej ikony w prawym górnym rogu, aby zaznaczyć lub odznaczyć wszystkie zdjęcia jednocześnie.
5. Po wybraniu zdjęć dotknij ikony „Importuj” w prawym górnym rogu (ikona to strzałka skierowana w dół).
Ramka rozpocznie import wybranych zdjęć.

Przesyłanie zdjęć za pomocą kabla USB:
1. Podłącz ramkę do komputera za pomocą kabla USB.
2. Na ramce przejdź do Ustawienia → Zarządzaj zdjęciami → Przesyłanie z komputera.
3. Włącz tę funkcję, a komputer wykryje ramkę.
Ramkę można zwykle znaleźć w sekcji „Ten komputer” w Eksploratorze plików.
4. Rozpocznij kopiowanie zdjęć z komputera do folderu DCIM ramki.

Nie odłączaj kabla USB, dopóki wszystkie zdjęcia nie zostaną całkowicie przesłane.

Uwaga: Przesyłanie zdjęć przez kabel USB jest obecnie obsługiwane tylko w systemach Windows i Linux.","一度に10枚以上の写真を転送する場合は、SDカードまたはUSB-Aメモリを使用して写真をインポートするか、USBケーブルを使用してコンピュータから写真を転送できます。

互換性
SDカードおよびUSB-Aメモリに対応しています。

フォーマット
SDカードおよびUSB-Aメモリは、FAT32またはexFAT形式でフォーマットされている必要があります。

SDカードまたはUSB-Aメモリから写真をインポートする：
1. フレームの「設定」を開きます。
2. 「写真を管理」をタップします。
3. 「写真をインポート」をタップします。
4. インポートしたい写真をタップして選択します。
• 注意：右上の四角いアイコンを使用すると、すべての写真を一度に選択または選択解除できます。
5. 写真を選択したら、右上の「インポート」アイコン（下向きの矢印）をタップします。
フレームは選択した写真のインポートを開始します。

USBケーブルで写真を転送する：
1. USBケーブルでフレームをコンピュータに接続します。
2. フレームで「設定」→「写真を管理」→「コンピュータから転送」を開きます。
3. この機能を有効にすると、コンピュータがフレームを検出します。
通常、フレームはファイルエクスプローラーの「PC」に表示されます。
4. コンピュータからフレームのDCIMフォルダへ写真をコピーします。

すべての写真の転送が完了するまで、USBケーブルを取り外さないでください。

注意：USBケーブルによる写真転送は、現在WindowsおよびLinuxでのみサポートされています。","如需一次傳輸超過 10 張照片，可使用 SD 卡或 USB 隨身碟（USB-A 接口）匯入照片，或透過 USB 線從電腦傳輸照片。

相容性
支援 SD 卡和 USB 隨身碟（USB-A 接口）

格式要求
SD 卡或 USB 隨身碟需為 FAT32 或 exFAT 格式。

從 SD 卡或 USB 隨身碟匯入照片：
1、打開相框上的「設定」。
2、進入「管理照片」選單。
3、點擊「匯入照片」。
4、點擊選擇要匯入的照片。
·注意：可使用右上角的方形圖示一次選擇或取消選擇所有照片。
5、照片選好後，點擊右上角的「匯入」圖示（該圖示為向下箭頭）。
相框將開始匯入所選照片。

透過 USB 線傳輸照片：
1、使用 USB 線將相框連接到電腦。
2、在相框上，進入「設定」→「管理照片」→「從電腦傳輸」。
3、啟用該功能後，電腦將偵測到相框。
通常可在「本機」中找到相框。
4、開始將照片從電腦複製到相框的 DCIM 資料夾。

請在所有照片傳輸完成前不要拔除 USB 線。

注意：透過 USB 線傳輸目前僅支援 Windows 和 Linux 電腦。","한 번에 10장 이상의 사진을 전송하려면 SD 카드 또는 USB-A 드라이브를 사용해 사진을 가져오거나, USB 케이블을 사용해 컴퓨터에서 사진을 전송할 수 있습니다.

호환성
SD 카드 및 USB-A 드라이브를 지원합니다.

포맷
SD 카드 및 USB-A 드라이브는 FAT32 또는 exFAT 형식이어야 합니다.

SD 카드 또는 USB-A 드라이브에서 사진 가져오기:
1. 프레임에서 ""설정""을 엽니다.
2. ""사진 관리""를 누릅니다.
3. ""사진 가져오기""를 누릅니다.
4. 가져올 사진을 눌러 선택합니다.
• 참고: 오른쪽 상단의 사각형 아이콘을 사용하면 모든 사진을 한 번에 선택하거나 선택 해제할 수 있습니다.
5. 사진 선택이 완료되면 오른쪽 상단의 ""가져오기"" 아이콘(아래쪽 화살표)을 누릅니다.
프레임이 선택한 사진 가져오기를 시작합니다.

USB 케이블로 사진 전송:
1. USB 케이블로 프레임을 컴퓨터에 연결합니다.
2. 프레임에서 설정 → 사진 관리 → 컴퓨터에서 전송으로 이동합니다.
3. 이 기능을 활성화하면 컴퓨터가 프레임을 감지합니다.
일반적으로 파일 탐색기의 ""내 PC""에서 프레임을 찾을 수 있습니다.
4. 컴퓨터에서 프레임의 DCIM 폴더로 사진 복사를 시작합니다.

모든 사진 전송이 완료되기 전에는 USB 케이블을 분리하지 마세요.

참고: USB 케이블을 통한 사진 전송은 현재 Windows 및 Linux에서만 지원됩니다.",,,,,,,
,,,,,,,,,,,,,,,,,,,
3、如果相框无法连接 Wi-Fi，请尝试以下方法。,"3. If your frame cannot connect to Wi-Fi, try the following:","3. Wenn Ihr Rahmen keine Verbindung mit Wi-Fi herstellen kann, versuchen Sie bitte Folgendes:","3. Si votre cadre ne peut pas se connecter au Wi-Fi, essayez les étapes suivantes :","3. Als uw fotolijst geen verbinding kan maken met Wi-Fi, probeer dan het volgende:","3. Se la cornice non riesce a connettersi al Wi-Fi, prova quanto segue:","3. Si el marco no puede conectarse a Wi-Fi, prueba lo siguiente:","3. Se a moldura não conseguir conectar-se ao Wi-Fi, experimente o seguinte:","3. Если фоторамка не может подключиться к Wi-Fi, попробуйте следующее:","3. Jeśli ramka nie może połączyć się z Wi-Fi, spróbuj wykonać poniższe czynności:",3. フレームが Wi-Fi に接続できない場合は、以下をお試しください。,3、如果相框無法連接 Wi-Fi，請嘗試以下方法。,"3. 프레임이 Wi-Fi에 연결되지 않을 경우, 다음 방법을 시도해보세요.",,,,,,,
"1、将相框移动到 Wi-Fi 信号更强的位置。
2、重置 Wi-Fi。
 - 进入“设置”→“Wi-Fi”
 - 点击右上角的三点图标
 - 选择“重置 Wi-Fi”
3、重新启动所有网络设备（例如调制解调器、路由器、无线接入点）以及相框，并等待 10 分钟。","1. Move the frame to a location with a stronger Wi-Fi signal.
2. Reset Wi-Fi.
- Go to Settings → Wi-Fi.
- Tap the three-dot icon in the top right corner.
- Select ""Reset Wi-Fi"".
3. Restart all network equipment (such as your modem, router, and access points) as well as the frame, then wait 10 minutes.","1. Stellen Sie den Rahmen an einen Ort mit stärkerem Wi-Fi-Signal.
2. Wi-Fi zurücksetzen.
- Gehen Sie zu Einstellungen → Wi-Fi.
- Tippen Sie oben rechts auf das Symbol mit den drei Punkten.
- Wählen Sie „Wi-Fi zurücksetzen“.
3. Starten Sie alle Netzwerkgeräte (z. B. Modem, Router und Access Points) sowie den Rahmen neu und warten Sie anschließend 10 Minuten.","1. Déplacez le cadre vers un endroit avec un signal Wi-Fi plus fort.
2. Réinitialiser le Wi-Fi.
- Accédez à Réglages → Wi-Fi.
- Touchez l’icône à trois points en haut à droite.
- Sélectionnez « Réinitialiser le Wi-Fi ».
3. Redémarrez tous les équipements réseau (tels que le modem, le routeur et les points d’accès), ainsi que le cadre, puis attendez 10 minutes.","1. Verplaats de fotolijst naar een locatie met een sterker Wi-Fi-signaal.
2. Wi-Fi resetten.
- Ga naar Instellingen → Wi-Fi.
- Tik op het pictogram met de drie puntjes rechtsboven.
- Selecteer ""Wi-Fi resetten"".
3. Herstart alle netwerkapparatuur (zoals modem, router en toegangspunten) en de fotolijst, en wacht vervolgens 10 minuten.","1. Sposta la cornice in una posizione con un segnale Wi-Fi più forte.
2. Reimposta il Wi-Fi.
- Vai su Impostazioni → Wi-Fi.
- Tocca l’icona con i tre punti in alto a destra.
- Seleziona ""Reimposta Wi-Fi"".
3. Riavvia tutti i dispositivi di rete (come modem, router e punti di accesso), insieme alla cornice, quindi attendi 10 minuti.","1. Mueve el marco a un lugar con una señal Wi-Fi más fuerte.
2. Restablecer Wi-Fi.
- Ve a Ajustes → Wi-Fi.
- Toca el icono de tres puntos en la esquina superior derecha.
- Selecciona ""Restablecer Wi-Fi"".
3. Reinicia todos los equipos de red (como el módem, el router y los puntos de acceso), junto con el marco, y espera 10 minutos.","1. Mova a moldura para um local com um sinal Wi-Fi mais forte.
2. Redefinir Wi-Fi.
- Vá a Definições → Wi-Fi.
- Toque no ícone de três pontos no canto superior direito.
- Selecione ""Redefinir Wi-Fi"".
3. Reinicie todos os dispositivos de rede (como modem, router e pontos de acesso), juntamente com a moldura, e aguarde 10 minutos.","1. Переместите фоторамку в место с более сильным сигналом Wi-Fi.
2. Сбросьте Wi-Fi.
- Перейдите в Настройки → Wi-Fi.
- Нажмите значок с тремя точками в правом верхнем углу.
- Выберите «Сбросить Wi-Fi».
3. Перезагрузите все сетевые устройства (например, модем, роутер и точки доступа), а также фоторамку, затем подождите 10 минут.","1. Przenieś ramkę w miejsce z silniejszym sygnałem Wi-Fi.
2. Zresetuj Wi-Fi.
- Przejdź do Ustawienia → Wi-Fi.
- Dotknij ikony z trzema kropkami w prawym górnym rogu.
- Wybierz „Zresetuj Wi-Fi”.
3. Uruchom ponownie wszystkie urządzenia sieciowe (takie jak modem, router i punkty dostępu), a także ramkę, a następnie odczekaj 10 minut.","1. フレームを Wi-Fi の電波がより強い場所に移動してください。
2. Wi-Fi をリセットします。
- 「設定」→「Wi-Fi」に移動します。
- 右上の三点アイコンをタップします。
- 「Wi-Fi をリセット」を選択します。
3. モデム、ルーター、アクセスポイントなどのすべてのネットワーク機器とフレームを再起動し、その後 10 分間お待ちください。","1、將相框移動到 Wi-Fi 訊號更強的位置。
2、重置 Wi-Fi。
- 進入「設定」→「Wi-Fi」
- 點擊右上角的三點圖示
- 選擇「重置 Wi-Fi」
3、重新啟動所有網路設備（例如調製解調器、路由器、無線接入點）以及相框，並等待 10 分鐘。","1. 프레임을 Wi-Fi 신호가 더 강한 위치로 옮기세요.
2. Wi-Fi를 재설정하세요.
- 설정 → Wi-Fi로 이동합니다.
- 오른쪽 상단의 점 세 개 아이콘을 누릅니다.
- ""Wi-Fi 재설정""을 선택합니다.
3. 모뎀, 라우터, 무선 액세스 포인트 등 모든 네트워크 장비와 프레임을 재시작한 후, 10분 정도 기다려 주세요.",,,,,,,
,,,,,,,,,,,,,,,,,,,
4、更多支持信息，请访问：www.pexar.com/support,"4. For more information and support, visit www.pexar.com/support",4. Weitere Informationen und Support finden Sie unter www.pexar.com/support,"4. Pour plus d’informations et d’assistance, consultez www.pexar.com/support",4. Ga voor meer informatie en ondersteuning naar www.pexar.com/support,"4. Per maggiori informazioni e supporto, visita www.pexar.com/support","4. Para más información y soporte, visite www.pexar.com/support","4. Para mais informações e suporte, aceda a www.pexar.com/support",4. Дополнительная информация и поддержка: www.pexar.com/support,4. Więcej informacji i wsparcie znajdziesz na stronie www.pexar.com/support,4. 詳しい情報やサポートについては、www.pexar.com/support をご覧ください,4、更多支援資訊，請前往：www.pexar.com/support,4. 추가 지원 및 정보는 www.pexar.com/support에서 확인하세요,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
封底：认证+售后信息+warning,,,,,,,,,,,,,,,,,,,
售后信息，格式参考Lexar,,,,,,,,,,,,,,,,,,,
重要安全说明,Important Safety Instructions,Wichtige Sicherheitshinweise,Consignes de sécurité importantes,Belangrijke veiligheidsvoorschriften,Istruzioni importanti sulla sicurezza,Instrucciones de seguridad importantes,Instruções importantes de segurança,Важные меры предосторожности,Ważne zalecenia dotyczące bezpieczeństwa,重要な安全上の注意,重要安全說明,중요 안전 지침,,,,,,,
1.工作温度应介于 0°C 至 40°C（32°F 至 104°F）,1. Operating temperature should be between 0°C and 40°C (32°F and 104°F).,1.Die Betriebstemperatur sollte zwischen 0 °C und 40 °C liegen.,1. La température de fonctionnement doit être comprise entre 0 °C et 40 °C / 32 °F et 104 °F.,1. De bedrijfstemperatuur moet tussen 0°C en 40°C (32°F en 104°F) liggen.,1. La temperatura di esercizio deve essere compresa tra 0 °C e 40 °C.,1. La temperatura de funcionamiento debe estar entre 0 °C y 40 °C (32 °F y 104 °F).,1. A temperatura de operação deve estar entre 0°C e 40°C (32°F e 104°F).,1. Рабочая температура должна быть в диапазоне от 0°C до 40°C (от 32°F до 104°F).,1. Temperatura pracy powinna wynosić od 0°C do 40°C (32°F do 104°F).,1. 動作温度は 0°C から 40°C（32°F から 104°F）の間である必要があります。,1. 工作溫度應介於 0°C 至 40°C（32°F 至 104°F）,1. 작동 온도는 0°C에서 40°C(32°F에서 104°F) 사이여야 합니다.,,,,,,,
2.请使用本产品随附的电源适配器，使用非本产品配套的电源适配器可能会导致火灾或人员受伤风险。,2. Please use the power adapter provided with this product. Using an unsupported power adapter may cause a risk of fire or injury.,2.Bitte verwenden Sie das mit diesem Produkt gelieferte autorisierte Netzteil. Die Verwendung eines nicht autorisierten Netzteils kann Brandgefahr oder Verletzungsgefahr verursachen.,2.Veuillez utiliser l'adaptateur secteur autorisé fourni avec ce produit. L'utilisation d'un adaptateur secteur non autorisé peut entraîner un risque d'incendie ou de blessure.,2. Gebruik de geautoriseerde voedingsadapter die bij dit product wordt geleverd. Het gebruik van een niet-geautoriseerde voedingsadapter kan brandgevaar of letsel veroorzaken.,2.Utilizzare l'adattatore di alimentazione autorizzato fornito con questo prodotto. L'uso di un adattatore di alimentazione non autorizzato può causare un rischio di incendio o di lesioni.,2.Utilice el adaptador de corriente autorizado que viene con este producto. El uso de un adaptador de corriente no autorizado puede causar riesgo de incendio o lesiones.,2. Utilize o adaptador de energia autorizado fornecido com este produto. O uso de um adaptador não autorizado pode representar risco de incêndio ou lesões.,"2. Используйте только сертифицированный адаптер питания, поставляемый с данным устройством. Использование несертифицированного адаптера может привести к риску пожара или травм.",2. Używaj tylko autoryzowanego zasilacza dostarczonego z tym produktem. Korzystanie z nieautoryzowanego zasilacza może spowodować ryzyko pożaru lub obrażeń.,2. 本製品に付属の電源アダプターをご使用ください。付属品以外の電源アダプターを使用すると、火災やけがのリスクが生じる可能性があります。,2. 請使用本產品配套的電源適配器，使用非本產品配套的電源適配器可能會導致火災或人員受傷風險。,2. 본 제품에 제공된 정품 전원 어댑터를 사용하세요. 정품이 아닌 어댑터를 사용할 경우 화재나 부상의 위험이 있을 수 있습니다.,,,,,,,
3.请勿自行拆卸产品。本产品如需服务或维修，请联系官方售后服务，自行拆卸后重新组装不正确可能会导致火灾或人员受伤风险。,"3.Do not disassemble the product yourself. For service or repair, please contact authorized after-sales service. Incorrect reassembly may cause a risk of fire or injury.",3.Bitte zerlegen Sie das Produkt nicht selbst. Wenden Sie sich für Service oder Reparatur bitte an den autorisierten Kundendienst. Ein falscher Zusammenbau kann Brandgefahr oder Verletzungsgefahr verursachen.,"3.Ne démontez pas le produit vous-même. Pour tout service ou réparation, veuillez contacter le service après-vente autorisé. Un remontage incorrect peut entraîner un risque d'incendie ou de blessure.",3. Demonteer het product niet zelf. Neem voor service of reparatie contact op met de geautoriseerde klantenservice. Onjuiste herassemblage kan brandgevaar of letsel veroorzaken.,"3.Non smontare il prodotto da soli. Per assistenza o riparazione, contattare l'assistenza post-vendita autorizzata. Un riassemblaggio scorretto può causare un rischio di incendio o di lesioni.","3.No desmonte el producto usted mismo. Para servicio o reparación, contacte con el servicio postventa autorizado. Un reensamblaje incorrecto puede causar riesgo de incendio o lesiones.","3. Não desmonte o produto por conta própria. Para manutenção ou reparo, entre em contato com o serviço pós-venda autorizado. A remontagem incorreta pode representar risco de incêndio ou ferimentos.",3. Не разбирайте продукт самостоятельно. Для обслуживания или ремонта обратитесь в авторизованный сервисный центр. Неправильная повторная сборка может привести к риску возгорания или травм.,3. Nie demontuj produktu samodzielnie. W celu serwisu lub naprawy skontaktuj się z autoryzowanym serwisem. Nieprawidłowy montaż po ponownym złożeniu może spowodować ryzyko pożaru lub obrażeń.,3. 製品を自分で分解しないでください。修理やメンテナンスが必要な場合は、認定されたアフターサービスにお問い合わせください。誤った再組み立ては、火災やけがのリスクを引き起こす可能性があります。,3. 請勿自行拆卸產品。本產品如需服務或維修，請聯繫官方售後服務，自行拆卸後重新組裝不正確可能會導致火災或人員受傷風險。,"3. 제품을 임의로 분해하지 마세요. 서비스나 수리가 필요한 경우, 공식 A/S 센터에 문의해 주세요. 임의로 분해 후 잘못 조립할 경우 화재나 부상의 위험이 있습니다.",,,,,,,
